id,MR,Rsq,E1,Px1,Py1,Pz1,E2,Px2,Py2,Pz2,HT,MET,nBJets
2389,628.65,0.00368921,344.471,1.97683,-106.326,258.073,355.634,5.65705,88.3275,-344.2,211.617,13.653,0
9073,238.291,0.0189755,270.023,101.125,46.4665,-245.698,94.0115,-87.198,-9.75658,-25.6827,199.032,10.4786,0
7406,1047.61,0.00207314,,-57.7003,47.2421,425.894,635.259,70.8614,-20.3361,-630.799,226.173,25.8246,0
2171,227.925,0.00268488,155.943,-102.589,-5.2552,116.311,112.23,102.598,4.14457,4.48955,206.631,1.36038,0
12189,207.339,0.0399114,158.584,-84.8494,71.5817,-112.407,222.872,26.1338,-78.3629,-206.392,193.617,14.7639,0
12184,251.548,0.0392004,119.482,22.7873,112.538,31.4863,236.312,-24.5441,-84.3441,218.872,202.665,21.5589,0
1668,516.756,0.0253121,341.84,-249.683,-56.5074,-225.804,263.983,241.424,54.9688,-85.6202,503.601,26.4373,0
10761,337.173,0.0387047,208.491,-77.9002,-160.546,106.453,203.276,53.8311,148.034,126.633,335.965,24.2751,0
6043,235.321,0.00332943,118.174,-96.5994,-59.1979,26.2899,126.922,81.153,45.108,-85.8069,206.142,1.63623,0
7100,,0.0308118,193.603,87.2578,-24.2892,170.467,162.168,-86.4456,6.6234,55.8724,216.24,12.9848,0
7134,275.261,0.0138061,121.78,-105.158,20.4365,-51.1823,174.044,88.1228,-5.22624,149.405,195.403,9.84058,0
3084,274.238,0.0175334,492.642,-91.8068,-39.5967,-481.902,82.2266,61.4934,48.6725,-21.8741,178.407,13.6191,0
9816,,0.013128,685.956,-74.5971,-91.0888,-675.693,153.08,66.3997,83.3478,-106.403,224.3,10.1278,0
2334,1373.04,0.00297357,1092.53,157.58,-2.96931,-1055.24,445.754,-146.137,1.10519,420.896,349.817,35.7082,0
5230,,0.00612068,97.4642,40.6123,68.8038,54.637,491.778,17.9825,-72.1136,-486.036,154.218,10.1158,1
11014,241.477,0.0240571,121.565,72.9033,80.3297,52.5563,254.203,-64.9904,-75.1334,233.871,207.821,13.8109,0
12598,293.406,0.0231106,,-93.6715,-62.5882,-144.093,145.814,52.7216,30.5797,96.6982,218.573,18.3565,0
2914,399.906,0.035122,,-130.084,56.8936,6.49656,440.918,140.688,-17.7845,416.5,283.789,38.8827,0
5739,493.12,0.0140312,179.74,-122.939,-87.5782,-80.1413,1110.16,118.352,59.9507,-1102.18,286.023,21.9166,0
968,327.239,0.0144074,145.103,98.557,45.8053,-94.3665,193.965,-58.5212,-52.4982,176.856,187.299,19.5168,0
8538,148.668,0.0277304,100.816,-37.3662,67.8721,-63.8483,87.0453,29.0426,-64.8092,-49.9577,148.497,8.04959,0
4999,241.794,0.0161236,297.445,-67.5886,77.9688,278.67,111.98,57.4141,-80.008,48.8053,201.663,8.9823,0
10793,198.487,0.0778437,210.746,-113.031,-19.4232,-176.069,284.27,58.9024,-27.5907,-276.627,179.731,26.6659,0
1941,428.44,0.0152876,510.455,-50.0861,33.0368,-489.696,184.426,58.1141,3.23666,80.3393,262.573,36.153,0
4478,184.168,0.0798115,139.528,65.0215,-65.1276,-103.242,166.562,-27.2313,86.5583,-138.978,182.77,30.4279,0
6302,380.497,0.00815173,616.955,155.805,85.3613,566.22,96.3094,-93.7499,-17.0046,8.27673,315.004,12.5186,0
1925,282.397,0.00874615,111.056,-99.9617,-0.324499,44.3388,467.011,88.3188,-21.8132,457.747,190.935,6.71489,0
4603,,0.0084021,,-81.6254,120.664,-94.0208,348.381,70.3095,-84.9146,330.249,256.356,16.477,0
12409,369.264,0.0279251,143.67,-17.6901,-134.613,30.3099,467.022,-34.3941,118.839,450.233,259.487,25.5952,0
1707,205.364,0.0654883,211.489,126.319,-15.6406,-137.09,117.477,-69.91,34.7603,-85.8786,235.812,20.9361,0
135,204.459,0.0137377,,-38.7614,-96.6264,62.1057,135.609,30.1738,93.9012,91.0749,202.741,5.42574,0
2122,202.763,0.0203928,126.968,-84.3775,-66.4993,-66.6838,130.809,88.1524,31.4691,-89.3969,201.033,9.3022,0
10441,522.809,0.00159246,159.3,27.529,-87.9253,-128.79,451.554,-25.6002,86.7971,441.847,182.628,4.82199,0
11196,,0.016236,110.828,95.6682,12.8195,-53.8195,128.755,-64.415,-31.8623,106.396,168.388,9.83759,0
6627,469.513,0.0109789,272.326,224.956,108.426,105.685,208.662,-192.174,-72.5291,-19.0029,455.128,9.71983,0
8081,,0.0413058,,-23.0559,124.518,-7.62548,144.384,-28.1605,-108.823,87.9385,239.042,18.6974,0
10878,391.109,0.0223325,313.411,174.058,-29.9138,-257.831,164.255,-162.35,16.6727,-14.0509,339.813,19.2172,0
3670,237.995,0.0111704,713.263,75.4757,-66.1293,-706.096,217.297,-66.9266,72.6942,-192.388,199.159,6.7041,0
8594,277.006,0.020991,258.639,-46.4118,-125.329,219.03,122.631,35.9546,109.908,39.1602,249.286,13.8794,0
1938,,0.0470495,111.899,-109.776,5.45344,-17.1012,117.47,95.3701,-22.816,-62.9715,207.973,18.6485,0
12643,,0.0516943,131.519,-61.5125,97.0651,62.4016,85.239,33.5632,-71.8106,-29.4557,194.182,20.2568,0
3825,224.969,0.0846014,127.486,118.121,-27.5029,-33.1899,119.506,-57.5928,83.7959,-57.5757,222.96,32.1881,0
1482,245.027,0.0591539,211.637,36.4102,132.758,-158.793,227.341,-29.0594,-96.8954,-202.899,238.819,25.8259,0
2102,363.156,0.00285907,247.094,10.4597,26.7465,179.379,214.414,-5.86734,-2.717,-181.383,267.295,12.9279,0
12154,309.832,0.00923346,510.335,-98.8815,-21.0925,-483.037,172.002,64.1603,-1.95331,16.7446,295.149,11.5345,0
10233,,0.0208431,140.72,-26.9978,-93.8162,79.5416,222.393,0.906447,74.0019,-209.352,185.459,22.7527,0
12547,286.221,0.017595,150.025,81.2213,-109.404,-59.7645,138.533,-97.239,73.2982,63.7767,258.028,13.1921,0
4494,278.334,0.00439871,309.278,42.0915,121.053,-280.921,87.1991,-35.0731,-78.208,1.35216,213.874,3.55823,0
6461,282.81,0.0223959,944.856,-136.294,-65.6438,-932.197,492.482,123.981,6.57483,-476.206,275.434,14.7904,0
10430,,0.0119187,89.1877,-66.7052,56.3256,-15.5583,150.539,37.2368,-64.556,130.341,161.831,5.44334,0
92,,0.0068197,163.323,38.4296,-103.529,-119.215,147.543,-31.828,76.4635,120.732,193.255,6.3002,1
190,,0.0405654,179.224,-38.8243,156.042,77.1647,343.471,17.6029,-114.428,322.736,276.573,28.077,0
8793,182.935,0.0308083,113.756,21.9862,-90.8802,64.0318,112.325,-41.524,79.1417,66.8324,182.876,10.114,0
11961,262.268,0.0137275,130.337,-91.0628,-10.7602,-46.2322,186.208,82.5936,0.648712,166.45,189.877,10.2631,0
3543,216.902,0.0162021,179.658,19.8564,96.2693,-150.177,68.4251,-3.72703,-61.0029,30.433,159.412,11.1793,0
10443,,0.00287151,505.748,47.738,22.7796,-444.15,151.372,-39.1876,-11.3602,145.493,280.901,14.4467,0
10108,250.991,0.0586871,338.121,-105.11,-61.1995,314.681,826.472,71.8946,50.7772,821.68,209.647,30.309,0
12719,518.925,0.00468148,457.275,-23.3955,132.375,-436.65,156.518,43.0298,-93.6067,114.413,237.45,9.15971,0
7896,264.948,0.00764319,300.055,116.338,50.8802,-271.623,139.73,-103.731,-49.3422,-78.0564,241.847,4.41765,0
9133,223.321,0.0269473,361.954,-103.249,56.9627,339.614,366.136,92.6614,-49.0485,350.494,227.826,11.4047,0
9902,,0.0605383,183.333,138.936,87.4027,78.6297,147.004,-112.813,-64.7747,-67.0648,294.228,39.7322,0
11404,319.224,0.0136221,311.407,98.5493,-92.5845,-279.575,114.993,-104.717,45.4404,-0.559332,249.369,11.4354,0
8037,274.313,0.0258024,173.152,-130.278,4.82202,-98.8329,114.367,95.789,-15.8933,58.9637,229.299,15.3014,0
3347,220.961,0.0333884,104.541,85.5123,-54.3384,20.6227,133.618,-35.8463,74.3529,-103.998,183.859,15.9558,0
