id,Run,Lumi,Event,jets
1,147926,463,499379866,trijet
2,147926,466,502201110,trijet
3,149181,992,977223571,tetrajet
4,149181,1802,1701566563,bijet
5,148029,395,307976436,tetrajet
6,149181,1802,1701695729,bijet
7,149181,1803,1702436203,bijet
8,149181,998,983130682,bijet
9,149181,997,982638020,bijet
10,148029,390,304529162,bijet
11,148029,395,308010493,bijet
12,148029,394,307481716,trijet
13,149181,998,983417910,bijet
14,147926,467,503427057,trijet
15,149181,1000,985046042,bijet
16,149181,986,971058710,bijet
17,149181,999,984698657,bijet
18,149181,1804,1703583046,bijet
19,147926,467,503291840,trijet
20,149181,1000,985266963,bijet
21,149181,1803,1702806025,tetrajet
22,148029,395,308160911,bijet
23,149181,998,983408712,trijet
24,148029,392,305626934,trijet
25,147926,463,498445763,trijet
26,147926,467,502815354,tetrajet
27,148029,388,302938836,bijet
28,147926,467,502813073,bijet
29,149181,1789,1691954750,bijet
30,147926,465,501466477,bijet
31,149181,986,970672844,trijet
32,149181,997,981798752,bijet
33,149181,986,971355381,bijet
34,148029,394,307489439,bijet
35,149181,1788,1691201037,bijet
36,149181,998,983166635,bijet
37,149181,1000,985463541,tetrajet
38,148029,391,304845128,bijet
39,149181,999,984459890,bijet
40,149181,985,970214376,bijet
41,149181,1788,1690806396,bijet
42,149181,997,982460103,bijet
43,149181,1000,984759764,trijet
44,149181,991,976572375,bijet
45,149181,991,976202579,tetrajet
46,149181,1000,985621436,trijet
47,148029,388,302770711,bijet
48,149181,986,970914627,bijet
49,149181,999,984747155,bijet
50,149181,998,983121127,bijet
51,149181,986,971020275,trijet
52,149181,1789,1691720876,trijet
53,149181,985,969533981,bijet
54,147926,462,497451765,tetrajet
55,148029,390,304224157,bijet
56,148029,391,304985069,bijet
57,147926,465,501329455,bijet
58,149181,991,976265289,trijet
59,149181,998,982912818,trijet
60,147926,467,503634934,bijet
61,149181,1802,1701694707,bijet
62,147926,464,499859049,bijet
63,149181,986,970736384,trijet
64,147926,465,501181867,bijet
65,149181,998,982861080,bijet
66,147926,463,498912224,bijet
67,149181,986,971050907,bijet
68,149181,1000,984944569,bijet
69,148029,390,304495712,trijet
70,149181,1789,1691620895,tetrajet
71,147926,465,500715925,bijet
72,149181,1788,1691243127,bijet
73,147926,466,501786919,trijet
74,147926,465,501494043,bijet
75,149181,986,970584811,trijet
76,149181,1789,1691934130,trijet
77,149181,1789,1692000628,bijet
78,147926,467,503360018,trijet
79,149181,1000,985658722,bijet
