,endTime,artistName,trackName,msPlayed
0,2020-07-26 05:32,Fotty Seven,Chaud,192311
1,2020-07-27 07:34,DaBaby,ROCKSTAR (feat. Roddy Ricch),181733
2,2020-07-27 07:38,THE SCOTTS,THE SCOTTS,165977
3,2020-07-27 07:39,Logic,Perfect,100291
4,2020-07-27 07:43,Roddy Ricch,The Box,196652
5,2020-07-27 07:45,Lil Mosey,Blueberry Faygo,162546
6,2020-07-27 07:48,StaySolidRocky,Party Girl,147800
7,2020-07-27 07:53,Drake,Toosie Slide,247058
8,2020-07-27 07:55,6ix9ine,GOOBA,132303
9,2020-07-27 07:56,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",13468
10,2020-07-27 07:59,Koji Kondo,Super Mario Bros: Theme,54503
11,2020-07-27 08:03,Jason Derulo,Take You Dancing,190306
12,2020-07-27 08:06,Joel Corry,Head & Heart (feat. MNEK),166028
13,2020-07-27 08:10,Kane Brown,Be Like That - feat. Swae Lee & Khalid,191406
14,2020-07-27 08:11,BENEE,Supalonely,10025
15,2020-07-27 08:11,Dayglow,Can I Call You Tonight?,84494
16,2020-07-27 08:11,Lil Mosey,Blueberry Faygo,6943
17,2020-07-27 08:14,Dermot Kennedy,Giants,177173
18,2020-07-27 08:16,Surfaces,Learn To Fly,99966
19,2020-07-27 08:18,JAWNY,Honeypie,135521
20,2020-07-27 08:22,Conkarah,Banana (feat. Shaggy) (DJ FLe - Minisiren Remix),210328
21,2020-07-27 08:25,The Weeknd,In Your Eyes,165942
22,2020-07-27 08:28,JP Cooper,Little Bit Of Love - Indian Summer Remix,205199
23,2020-07-27 08:29,Diplo,Dance with Me (feat. Thomas Rhett & Young Thug),27672
24,2020-07-27 14:15,Diplo,Dance with Me (feat. Thomas Rhett & Young Thug),142486
25,2020-07-27 14:19,Kodaline,Wherever You Are,185004
26,2020-07-27 14:22,Lady Gaga,Rain On Me (with Ariana Grande),182200
27,2020-07-27 14:25,Sia,Together,205207
28,2020-07-27 14:26,Katy Perry,Daisies,551
29,2020-07-27 14:31,Kygo,I'll Wait,215360
30,2020-07-27 14:35,Sasha Sloan,Dancing With Your Ghost,197732
31,2020-07-27 14:38,Sasha Sloan,Older,191001
32,2020-07-27 14:42,NF,Only,225440
33,2020-07-27 14:45,Sasha Sloan,Too Sad To Cry,208986
34,2020-07-27 14:49,Sasha Sloan,smiling when i die,206436
35,2020-07-27 14:52,Sasha Sloan,Keep On,180240
36,2020-07-27 14:55,Sasha Sloan,at least i look cool,171695
37,2020-07-27 14:58,Sasha Sloan,Thoughts,185712
38,2020-07-27 15:02,Sasha Sloan,The Only,217167
39,2020-07-27 15:06,Kygo,I'll Wait,215360
